"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"1111634","1","11","15","19","QUEENS","357619.8717948718","(40.7543840270001, -73.772450364)"
"1008724","1","10","11","21","BROOKLYN","807918.918367347","(40.6145068060001, -74.037388477)"
"1071577","3","6","2","6","BROOKLYN","773386.612244898","(40.7139851150001, -73.9411967149999)"
"1089387","3","9","1","19","BROOKLYN","782987.7448979592","(40.7048348760001, -73.94279174)"
"992079","2","6","15","9","MANHATTAN","1557062.2727272727","(40.7337431610001, -74.001996826)"
"1067933","4","3","18","17","BROOKLYN","735019.1836734693","(40.6613847510001, -73.947795818)"
"1116266","5","10","15","1","BRONX","807918.918367347","(40.835055997, -73.883898102)"
"974640","4","11","25","14","BROOKLYN","813043.8571428572","(40.6706671250001, -73.875644318)"
"969746","2","5","18","4","STATEN ISLAND","143133.33333333334","(40.6339662820001, -74.12464326)"
"993804","2","5","4","8","QUEENS","315149.8461538461","(40.7739247330001, -73.930846765)"
"1013132","6","2","20","22","MANHATTAN","1449851.1363636365","(40.7465143370001, -73.9740709929999)"
"834003","1","6","7","16","QUEENS","305813.7948717949","(40.5968242320001, -73.7775568389999)"
"950520","5","7","30","15","MANHATTAN","1487719.0909090908","(40.739161316, -74.0011056719999)"
"1060498","3","12","29","12","STATEN ISLAND","149966.66666666666","(40.6121920040001, -74.102214362)"
"1025094","1","8","23","15","BROOKLYN","776779.5918367347","(40.628967673, -73.897204422)"
"1116865","1","11","1","0","MANHATTAN","1621056.8181818181","(40.7071518590001, -74.004531637)"
"1041037","7","12","26","22","BROOKLYN","823153.0408163265","(40.6366413590001, -73.8876049359999)"
"849111","1","7","12","18","MANHATTAN","1487719.0909090908","(40.8514601040001, -73.930354086)"
"958127","2","9","7","12","BROOKLYN","782987.7448979592","(40.672245364, -73.953061363)"
"1108657","4","3","4","18","BROOKLYN","735019.1836734693","(40.6993270890001, -73.9253053419999)"
"1070590","7","4","11","9","QUEENS","284660.3846153846","(40.7352454160001, -73.858463451)"
"1116301","5","10","15","6","MANHATTAN","1600241.9318181819","(40.7514498240001, -73.976050545)"
"899744","1","12","27","12","BROOKLYN","823153.0408163265","(40.6242030290001, -73.959276793)"
"962996","2","1","12","0","BROOKLYN","727974.4897959183","(40.6713276090001, -73.890881022)"
"1016901","7","3","7","12","MANHATTAN","1449397.7272727273","(40.7790326190001, -73.952372268)"
"1029869","4","4","1","8","QUEENS","284660.3846153846","(40.7570199460001, -73.856569098)"
"735830","3","8","18","0","BROOKLYN","776779.5918367347","(40.7062220130001, -73.950974356)"
"1093109","7","2","28","2","BROOKLYN","733877.5408163265","(40.600734012, -74.000501992)"
"1083266","1","7","5","15","BROOKLYN","789217.3469387755","(40.5750619290001, -73.975069869)"
"989174","7","6","13","10","BRONX","80357.8125","(40.805568769, -73.9144977)"
"1092109","5","6","25","12","BRONX","80357.8125","(40.8409647080001, -73.785703503)"
"1065586","6","3","27","23","MANHATTAN","1449397.7272727273","(40.7302189120001, -74.0003117429999)"
"886196","7","10","10","20","QUEENS","389583.8461538461","(40.591032489, -73.7861275069999)"
"1005134","4","4","29","20","QUEENS","284660.3846153846","(40.7599826260001, -73.770713014)"
"974718","5","7","16","12","BRONX","103389.0625","(40.8295659250001, -73.9183694179999)"
"897765","1","12","6","21","MANHATTAN","1682289.6590909092","(40.7339517440001, -74.002880864)"
"1033902","5","4","2","17","BROOKLYN","735071.4285714285","(40.6231985480001, -73.946197442)"
"995985","2","5","4","21","BROOKLYN","757306.1224489796","(40.6766803410001, -73.900418819)"
"1005790","3","11","24","21","QUEENS","357619.8717948718","(40.597825761, -73.775976289)"
"862068","5","9","10","15","MANHATTAN","1554646.5909090908","(40.822937021, -73.940052637)"
"1021893","7","2","7","23","QUEENS","232387.38461538462","(40.782459257, -73.838661889)"
"980985","4","5","27","3","MANHATTAN","1471835.2159090908","(40.738219595, -73.992012181)"
"1081274","4","2","4","0","BROOKLYN","733877.5408163265","(40.6581969440001, -73.958538808)"
"1062661","1","6","28","2","BRONX","80357.8125","(40.848447832, -73.923905353)"
"900876","1","12","27","20","BROOKLYN","823153.0408163265","(40.620745545, -73.908452261)"
"951835","5","7","30","21","QUEENS","325513.28205128206","(40.679980738, -73.7762339069999)"
"1014852","7","11","28","15","QUEENS","357619.8717948718","(40.679980738, -73.7762339069999)"
"1109914","4","4","8","13","MANHATTAN","1557982.8295454546","(40.804832779, -73.9454690809999)"
"1079899","6","6","19","18","QUEENS","305813.7948717949","(40.760148976, -73.740448519)"
"729706","6","5","22","21","QUEENS","315149.8461538461","(40.6811865660001, -73.8259597589999)"
"1059740","1","6","14","14","BROOKLYN","773386.612244898","(40.6741964030001, -73.8803423419999)"
"1106639","5","10","1","7","MANHATTAN","1600241.9318181819","(40.7656817340001, -73.966655793)"
"1109991","2","10","19","11","BRONX","807918.918367347","(40.827793974, -73.8990038699999)"
"1099412","4","10","28","13","BROOKLYN","807918.918367347","(40.6828827150001, -73.943820119)"
"1070707","7","4","11","12","BROOKLYN","735071.4285714285","(40.669615171, -73.906838722)"
"1010091","3","1","6","10","QUEENS","274035.26923076925","(40.605707227, -73.766881589)"
"1014917","5","3","5","16","QUEENS","271529.57692307694","(40.6961790490001, -73.794632758)"
"814685","5","1","29","12","BRONX","70562.5","(40.8895825500001, -73.859494752)"
"1057093","6","1","2","0","BROOKLYN","727974.4897959183","(40.6062396630001, -73.942991466)"
"1024204","1","8","23","7","STATEN ISLAND","149816.66666666666","(40.613413843, -74.084852067)"
"1085663","4","7","22","12","BRONX","103389.0625","(40.8164168230001, -73.915726553)"
"1111565","4","5","13","1","QUEENS","315149.8461538461","(40.736320963, -73.8999544119999)"
"1099817","4","10","28","19","BRONX","807918.918367347","(40.8681775520001, -73.893671027)"
"978465","1","3","15","17","BRONX","75996.8125","(40.8764534150001, -73.907091329)"
"1097702","2","10","12","11","BROOKLYN","807918.918367347","(40.698895216, -73.932673689)"
"1075624","5","9","24","9","BRONX","80778.125","(40.846167721, -73.8352291269999)"
"893877","6","2","6","21","MANHATTAN","1449851.1363636365","(40.718734021, -73.9862173179999)"
"1104269","5","12","24","13","BRONX","94984.375","(40.8610962160001, -73.853568174)"
"1010573","3","1","6","12","QUEENS","274035.26923076925","(40.7476390240001, -73.883938566)"
"1112629","1","12","20","4","MANHATTAN","1682289.6590909092","(40.8117981930001, -73.9499862389999)"
"1105900","3","8","25","23","BROOKLYN","776779.5918367347","(40.576645978, -73.9764803959999)"
"954273","5","1","15","16","QUEENS","274035.26923076925","(40.6791986050001, -73.792410081)"
"1118535","5","11","19","18","BRONX","98031.25","(40.846606943, -73.8878863159999)"
"1117738","3","11","3","23","QUEENS","357619.8717948718","(40.709540992, -73.796395081)"
"834953","5","5","7","18","MANHATTAN","1471835.2159090908","(40.7949806010001, -73.972549694)"
"1092268","5","9","17","1","BRONX","80778.125","(40.848674197, -73.917796563)"
"920361","5","6","18","22","BRONX","80357.8125","(40.816326803, -73.896214158)"
"1095555","7","7","11","21","BRONX","103389.0625","(40.907965819, -73.898125927)"
"1112630","1","12","20","4","BROOKLYN","823153.0408163265","(40.6042028150001, -73.9721779659999)"
"804387","5","3","26","16","BROOKLYN","735019.1836734693","(40.670655072, -73.91339092)"
"1034911","6","4","3","2","BRONX","77496.875","(40.8595963160001, -73.866058072)"
"1090457","2","8","24","23","STATEN ISLAND","149816.66666666666","(40.6389841760001, -74.1712523049999)"
"806803","6","4","17","9","MANHATTAN","1557982.8295454546","(40.704944047, -74.0159864299999)"
"1059371","4","2","25","12","QUEENS","232387.38461538462","(40.701713709, -73.9117925429999)"
"964538","1","4","12","12","BROOKLYN","735071.4285714285","(40.5989141330001, -73.9957162589999)"
"1021788","4","4","22","8","BROOKLYN","735071.4285714285","(40.6925576690001, -73.990971896)"
"1057201","6","1","2","0","QUEENS","274035.26923076925","(40.669005773, -73.853975471)"
"1080908","3","2","3","18","MANHATTAN","1449851.1363636365","(40.794501225, -73.944636047)"
"1051577","1","9","27","21","BRONX","80778.125","(40.830571008, -73.895234353)"
"981009","5","4","9","14","QUEENS","284660.3846153846","(40.6709548760001, -73.812525798)"
